epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,1311.55,0.79062,0.61187,0.81013,0.3569,0.5196,0.32083,0.19107,1.60443,3.7273,0.9284,0.000553027,0.000553027,0.000553027
137,1320.58,0.85597,0.59484,0.86672,0.25963,0.46033,0.29357,0.1766,1.60366,3.70245,0.92621,0.000544776,0.000544776,0.000544776
138,1329.49,0.90994,0.62185,0.81557,0.26841,0.47136,0.27155,0.16464,1.63001,3.78853,0.92579,0.000536524,0.000536524,0.000536524
139,1338.62,0.75656,0.57946,0.85369,0.30694,0.46685,0.2775,0.16712,1.62681,3.8321,0.92028,0.000528272,0.000528272,0.000528272
140,1347.96,0.79956,0.60248,0.8311,0.12174,1,0.26383,0.1549,1.59579,3.85933,0.91619,0.000520021,0.000520021,0.000520021
141,1358.48,0.85963,0.63556,0.85345,0.13492,1,0.28192,0.16198,1.60024,3.94827,0.91771,0.000511769,0.000511769,0.000511769
142,1369.05,0.83587,0.6066,0.84458,0.13384,1,0.29256,0.16211,1.62317,4.03973,0.91338,0.000503517,0.000503517,0.000503517
143,1379.39,0.77138,0.63203,0.83355,0.12907,1,0.30278,0.18198,1.6207,4.17942,0.90082,0.000495266,0.000495266,0.000495266
144,1390.17,0.64715,0.59276,0.85274,0.14396,1,0.30278,0.17979,1.64416,4.20147,0.90126,0.000487014,0.000487014,0.000487014
145,1400.67,0.80807,0.56738,0.82098,0.14052,1,0.31288,0.19184,1.66041,4.19556,0.90507,0.000478762,0.000478762,0.000478762
146,1410.91,0.7404,0.59972,0.83164,0.1489,1,0.34647,0.20788,1.65216,4.06789,0.91155,0.000470511,0.000470511,0.000470511
147,1421.11,0.68999,0.57798,0.89134,0.17179,1,0.34647,0.19974,1.64103,4.14082,0.90736,0.000462259,0.000462259,0.000462259
148,1431.31,0.81261,0.60226,0.84122,0.18132,1,0.34647,0.20062,1.64951,4.1939,0.91057,0.000454007,0.000454007,0.000454007
149,1441.59,0.73564,0.55073,0.80563,0.18132,1,0.31094,0.18456,1.65643,4.20416,0.91836,0.000445756,0.000445756,0.000445756
150,1451.77,0.75927,0.54527,0.81835,0.18132,1,0.31094,0.18456,1.65977,4.1828,0.92775,0.000437504,0.000437504,0.000437504
151,1462.15,0.66497,0.54457,0.81922,0.17619,1,0.29705,0.17268,1.67143,4.172,0.92722,0.000429253,0.000429253,0.000429253
152,1472.4,0.66471,0.53062,0.82962,0.17619,1,0.27707,0.16624,1.66856,4.15009,0.92073,0.000421001,0.000421001,0.000421001
153,1482.8,0.72795,0.57937,0.83531,0.15833,1,0.31475,0.18388,1.64769,4.16327,0.9141,0.000412749,0.000412749,0.000412749
154,1492.87,0.71433,0.53966,0.81071,0.14444,1,0.30566,0.18197,1.66281,4.13621,0.9086,0.000404498,0.000404498,0.000404498
155,1503.71,0.63448,0.50701,0.82642,0.11275,1,0.24041,0.14772,1.66459,4.11616,0.9007,0.000396246,0.000396246,0.000396246
156,1513.82,0.71295,0.59095,0.8234,0.11591,1,0.21937,0.13317,1.6751,4.21902,0.90139,0.000387994,0.000387994,0.000387994
157,1525.69,0.6788,0.50799,0.83276,0.11797,1,0.20275,0.1246,1.69222,4.35623,0.90695,0.000379743,0.000379743,0.000379743
158,1538.01,0.6801,0.5347,0.84273,0.13285,1,0.20427,0.12256,1.70486,4.50124,0.91571,0.000371491,0.000371491,0.000371491
159,1549.64,0.71154,0.55419,0.81478,0.15507,1,0.20427,0.12256,1.70807,4.59319,0.92014,0.000363239,0.000363239,0.000363239
160,1561.25,0.70397,0.57368,0.8158,0.14265,1,0.1929,0.12035,1.73401,4.72885,0.93096,0.000354988,0.000354988,0.000354988
161,1572.62,0.80818,0.58944,0.89177,0.15441,1,0.19234,0.11709,1.77259,4.84434,0.93559,0.000346736,0.000346736,0.000346736
162,1584.14,0.60672,0.51219,0.81532,0.15278,1,0.17012,0.09892,1.78616,4.93298,0.93371,0.000338484,0.000338484,0.000338484
163,1595.88,0.62816,0.57404,0.80143,0.12632,0.875,0.1421,0.08775,1.75336,4.95796,0.92281,0.000330233,0.000330233,0.000330233
164,1607.58,0.6231,0.5055,0.85039,0.13214,0.875,0.1466,0.09054,1.72403,4.97525,0.91048,0.000321981,0.000321981,0.000321981
165,1619.1,0.75398,0.56034,0.81314,0.13214,0.875,0.14387,0.0889,1.68507,4.99269,0.90069,0.000313729,0.000313729,0.000313729
166,1630.37,0.76148,0.53498,0.821,0.15606,1,0.17637,0.10527,1.66236,5.01378,0.89595,0.000305478,0.000305478,0.000305478
167,1642.06,0.73487,0.55932,0.84563,0.12381,0.875,0.13937,0.09252,1.66482,5.04416,0.89577,0.000297226,0.000297226,0.000297226
168,1653.36,0.6834,0.49676,0.82353,0.11756,0.875,0.13543,0.08653,1.6812,5.03362,0.89953,0.000288974,0.000288974,0.000288974
169,1664.57,0.62116,0.49338,0.81727,0.0875,0.75,0.11183,0.07245,1.71494,4.98481,0.90763,0.000280723,0.000280723,0.000280723
170,1675.88,0.62238,0.55574,0.80327,0.23621,0.1181,0.13375,0.08025,1.7244,4.94873,0.91604,0.000272471,0.000272471,0.000272471
171,1687.29,0.60733,0.48236,0.84358,0.10417,0.875,0.15762,0.08081,1.7152,4.93798,0.92636,0.00026422,0.00026422,0.00026422
172,1698.67,0.60614,0.49999,0.81505,0.14037,1,0.20271,0.11569,1.70329,4.8177,0.93091,0.000255968,0.000255968,0.000255968
173,1710.2,0.6405,0.51759,0.80035,0.13384,1,0.20648,0.12226,1.68322,4.77323,0.91845,0.000247716,0.000247716,0.000247716
174,1721.91,0.69852,0.53109,0.83998,0.14037,1,0.20648,0.12582,1.65829,4.78069,0.90962,0.000239465,0.000239465,0.000239465
175,1733.68,0.61073,0.51003,0.83592,0.14881,1,0.20023,0.12661,1.65456,4.74091,0.90618,0.000231213,0.000231213,0.000231213
176,1744.88,0.60717,0.49836,0.78566,0.14881,1,0.21725,0.13076,1.65621,4.76704,0.90272,0.000222961,0.000222961,0.000222961
177,1756.02,0.68552,0.51875,0.85449,0.15,1,0.21725,0.13076,1.67491,4.82364,0.90492,0.00021471,0.00021471,0.00021471
178,1767.22,0.648,0.49913,0.77799,0.14146,1,0.21089,0.12675,1.685,4.88309,0.91092,0.000206458,0.000206458,0.000206458
179,1778.33,0.58292,0.51182,0.81381,0.15132,1,0.22106,0.13204,1.6779,4.86494,0.91397,0.000198206,0.000198206,0.000198206
180,1789.39,0.58631,0.52588,0.81409,0.15441,1,0.23594,0.14016,1.67684,4.82538,0.91738,0.000189955,0.000189955,0.000189955
181,1800.68,0.58854,0.46823,0.7902,0.15278,1,0.22176,0.13197,1.67252,4.87958,0.91902,0.000181703,0.000181703,0.000181703
182,1811.82,0.66799,0.55622,0.85153,0.16458,1,0.23005,0.13786,1.67891,4.88576,0.91957,0.000173451,0.000173451,0.000173451
183,1822.98,0.77456,0.56425,0.83556,0.16667,1,0.24321,0.14499,1.68678,4.8575,0.91961,0.0001652,0.0001652,0.0001652
184,1834.33,0.59098,0.48788,0.82084,0.16458,1,0.24874,0.14517,1.68772,4.84708,0.91786,0.000156948,0.000156948,0.000156948
185,1845.83,0.65116,0.48515,0.77974,0.15625,1,0.23832,0.13986,1.68811,4.84683,0.91479,0.000148696,0.000148696,0.000148696
186,1857.34,0.68435,0.50955,0.83104,0.16667,1,0.21791,0.12771,1.69349,4.88607,0.91261,0.000140445,0.000140445,0.000140445
